¿A quién le pido reposición de este insumo ?,FaltanteInsumos
¿Quién entrega la materia prima ?,FaltanteInsumos
 Por favor informar a quien reclamar el faltante,FaltanteInsumos
¿Quien soluciona este problema de falta de stock ?,FaltanteInsumos
 Necesito reabastecer el item faltante,FaltanteInsumos
"Urgente, proveer este part number",FaltanteInsumos
¿Quien est  operando el almacén ?,FaltanteInsumos
Falta de Insumos ¿ Como lo soluciono  ?,FaltanteInsumos
"Ya, enviar pedido de abastecimiento",FaltanteInsumos
¿Hay stock en depósito ? Abastecer urgente,FaltanteInsumos
Cargar pedido de aprovisionamiento ,FaltanteInsumos
Falta de stock ¨ Como lo resuelvo?,FaltanteInsumos
Abastecer ya ,FaltanteInsumos
Entregar insumo a planta lo m s r pido posible,FaltanteInsumos
Reponer faltante stock,FaltanteInsumos
¿Quien es el encargado de entregar este insumo ?,FaltanteInsumos
Faltante SKU : Proveer Urgente,FaltanteInsumos
¿Quién se encarga del faltante de stock hoy ?,FaltanteInsumos
¿Quién está a cargo del depósito hoy ?,FaltanteInsumos
Avisar a depósito sobre faltante de stock,FaltanteInsumos
¿Como hago el pedido de abastecimiento de insumos ?,FaltanteInsumos
¿Con que perfil de operador puedo reemplazar la ausencia?,RRHH_Skills
¿Qué especialización es necesaria ?,RRHH_Skills
¿Cual sería el reemplazo mas adecuado ?,RRHH_Skills
¿Como suplanto al operador ausente ?,RRHH_Skills
¿Que skills son necesarios ?,RRHH_Skills
¿Que entrenamiento necesita un reemplazo ?,RRHH_Skills
¿Que certificaciones se requieren para operar la maquina ?,RRHH_Skills
¿Que opciones de reemplazo existen ?,RRHH_Skills
¿Qu  habilidades son necesarias para trabajar en este puesto ?,RRHH_Skills
¿Que perfil se adecúa mas al del operador ausente ?,RRHH_Skills
¿Como reemplazo a este operador ?,RRHH_Skills
¿Quien sería equivalente en este puesto ?,RRHH_Skills
¿Es el perfil de Laminador similar al del Finishing / Acabado ?,RRHH_Skills
¿Quien puede reemplazar a un Operador de Carga en Tolva ?,RRHH_Skills
"Falta operador Laminado , ¨ Quien lo reemplaza ?",RRHH_Skills
Falto Laminador Urgente Reemplazo,RRHH_Skills
"Faltó  Operario , Indicar perfil necesario ",RRHH_Skills
"Necesito un backup , informar perfil necesarios",RRHH_Skills
Necesito un operador de laminado urgente ,RRHH_Skills
Ausencia Operador Maquina 28: Se solicita reemplazo,RRHH_Skills
